dataset_number/I:physics_short/C:crossSection/D:genFiltEff/D:kFactor/D:relUncertUP/D:relUncertDOWN/D:generator_name/C
362254         Sherpa_CT10_Zee_Pt140_280_CFilterBVeto_qsf025               12.63          0.2357              1.010401       0.0            0.0            Sherpa
362262         Sherpa_CT10_Zee_Pt140_280_BFilter_qsf025                    12.63          0.1389              1.010401       0.0            0.0            Sherpa
362270         Sherpa_CT10_Zee_Pt280_500_CVetoBVeto_qsf025                 0.8469         0.5982              1.010401       0.0            0.0            Sherpa
362278         Sherpa_CT10_Zee_Pt280_500_CFilterBVeto_qsf025               0.8469         0.2527              1.010401       0.0            0.0            Sherpa
362286         Sherpa_CT10_Zee_Pt280_500_BFilter_qsf025                    0.8469         0.1514              1.010401       0.0            0.0            Sherpa
362294         Sherpa_CT10_Zee_Pt500_700_CVetoBVeto_qsf025                 0.04956        0.5742              1.010401       0.0            0.0            Sherpa
362302         Sherpa_CT10_Zee_Pt500_700_CFilterBVeto_qsf025               0.04956        0.2666              1.010401       0.0            0.0            Sherpa
362310         Sherpa_CT10_Zee_Pt500_700_BFilter_qsf025                    0.04956        0.161               1.010401       0.0            0.0            Sherpa
362318         Sherpa_CT10_Zee_Pt700_1000_CVetoBVeto_qsf025                0.008744       0.618               1.010401       0.0            0.0            Sherpa
362326         Sherpa_CT10_Zee_Pt700_1000_CFilterBVeto_qsf025              0.008744       0.2623              1.010401       0.0            0.0            Sherpa
362334         Sherpa_CT10_Zee_Pt700_1000_BFilter_qsf025                   0.008744       0.1664              1.010401       0.0            0.0            Sherpa(v2.1.1)
362342         Sherpa_CT10_Zee_Pt1000_2000_CVetoBVeto_qsf025               0.001076       0.5676              1.010401       0.0            0.0            Sherpa(v2.1.1)
362350         Sherpa_CT10_Zee_Pt1000_2000_CFilterBVeto_qsf025             0.001076       0.2876              1.010401       0.0            0.0            Sherpa(v2.1.1)
362358         Sherpa_CT10_Zee_Pt1000_2000_BFilter_qsf025                  0.001076       0.165               1.010401       0.0            0.0            Sherpa(v2.1.1)
362366         Sherpa_CT10_Zee_Pt2000_E_CMS_CVetoBVeto_qsf025              4.302e-06      0.5651              1.010401       0.0            0.0            Sherpa(v2.1.1)
362374         Sherpa_CT10_Zee_Pt2000_E_CMS_CFilterBVeto_qsf025            4.302e-06      0.2942              1.010401       0.0            0.0            Sherpa(v2.1.1)
362382         Sherpa_CT10_Zee_Pt2000_E_CMS_BFilter_qsf025                 4.302e-06      0.1779              1.010401       0.0            0.0            Sherpa(v2.1.1)
305201         Sherpa_CT10_Zee2JetsEW1JetQCD15GeVM40_qsf4                  2.1616         1.0000E+00          1.0            0.0            0.0            Sherpa(v2.1.1)
362199         Sherpa_CT10_Zee_Pt0_70_CVetoBVeto_qsf4                      2178.0         0.7777              1.011656       0.0            0.0            Sherpa(v2.1.1)
362207         Sherpa_CT10_Zee_Pt0_70_CFilterBVeto_qsf4                    2178.0         0.1424              1.011656       0.0            0.0            Sherpa(v2.1.1)
